original_address,lat,lon,formatted,housenumber,name,county_code,postcode,suburb,district,street,city,county,state,state_code,country,country_code,confidence_street_level,confidence_building_level,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Đường Lại Thị Bộn (Đường 1C),Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,Vietnam,vn,,,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Trỗi,Phường 17,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,Vietnam,vn,,,0.08930249999999999,0.35720999999999997,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 2, Phường Long Thạnh Mỹ,Phường Long Phước,Quận 9,TP. Hồ Chí Minh",10.84557,106.615101,"Quán Tre, Ho Chi Minh City, HC, Vietnam",,,,,,,Quán Tre,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Tân Hải,Phường 13,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,Ho Chi Minh,HC,Vietnam,vn,,,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Số 45,Phường Bình Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,Vietnam,vn,,,0.020924805189668133,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Xuân Thới Thượng 58C,Xã Xuân Thới Thượng,Huyện Hóc Môn,TP. Hồ Chí Minh",10.84601,106.591149,"58c, Đường Xuân Thới Thượng 58C, HC, Vietnam",58c,,,,,,Đường Xuân Thới Thượng 58C,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0.19999999999999998,0,0.09999999999999999,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đông Thạnh 2-8,Xã Đông Thạnh,Huyện Hóc Môn,TP. Hồ Chí Minh",10.753687,106.6628054,"2, Phu Dong Thien Vuong Street, Cholon, Ho Chi Minh City, 73000, Vietnam",2,,,73000,Cholon,,Phu Dong Thien Vuong Street,Ho Chi Minh City,,,,Vietnam,vn,0.07692307692307693,0.06923076923076923,0.06923076923076923,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 24,Phường 11,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",,Quan 6,,,,,,,Quan 6,Ho Chi Minh,HC,Vietnam,vn,,,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quốc Lộ 22,Xã Trung Chánh,Huyện Hóc Môn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Huỳnh Tấn Phát,Phường Bình Thuận,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,Quan 7,,,,,,,Quan 7,Ho Chi Minh,HC,Vietnam,vn,,,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 14,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,Vietnam,vn,,,0.2,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tam Đông 12,Xã Thới Tam Thôn,Huyện Hóc Môn,TP. Hồ Chí Minh",10.898455,106.609994,"12, Đường Tam Đông 1, HC, Vietnam",12,,,,,,Đường Tam Đông 1,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0.19999999999999998,0,0.09999999999999999,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tô Ký,Xã Thới Tam Thôn,Huyện Hóc Môn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 45,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.79397,106.62169,"Phường Tân Quý, HC, Vietnam",,,,,,,,Phường Tân Quý,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,,0.45,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
