original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường Trần Quang Đạo,Xã Tân Thông Hội,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 653,Xã Tân Phú Trung,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 23,Phường Long Thạnh Mỹ,Quận 9,TP. Hồ Chí Minh",10.7646639,106.6968168,"23, Hẻm 17 Cô Giang, Ho Chi Minh City, HC 71010, Vietnam",,23,Hẻm 17 Cô Giang,71010,,,Ho Chi Minh City,Phường Cầu Ông Lãnh,Ho Chi Minh,HC,Vietnam,vn,,0.07346938775510203,0.2571428571428571,0.07346938775510203,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 25, Phường Bình Hưng Hòa A,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.7452878,106.63233825,"UBND phường 11, 25, Đường Số 4, Ho Chi Minh City, 71910, Vietnam",UBND phường 11,25,Đường Số 4,71910,,,Ho Chi Minh City,Phường Bình Phú,,,Vietnam,vn,,0.09999999999999999,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phạm Hùng,Xã Phước Lộc,Huyện Nhà Bè,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,
"Đường Hoàng Hữu Nam,Phường Long Phước,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,,Quan Chin,Quan 9,Ho Chi Minh,HC,Vietnam,vn,,0.1111111111111111,0.2222222222222222,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nam Cao,Phường Tân Phú,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,,Quan Chin,Quan 9,Ho Chi Minh,HC,Vietnam,vn,,0.1111111111111111,0.2222222222222222,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hương Lộ 2,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.767441,106.609022,"Hẻm 671 Đường Hương Lộ 2, HC, Vietnam",,,Hẻm 671 Đường Hương Lộ 2,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Hữu Cảnh,Phường 19,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,Binh Thanh,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bác Ái,Phường Tân Thành,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",Tan Phu,,,,,,,Tan Phu,Ho Chi Minh,HC,Vietnam,vn,,0.225,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ấp Chánh 15,Xã Tân Xuân,Huyện Hóc Môn,TP. Hồ Chí Minh",10.867748,106.598996,"15, Đường Ấp Chánh 9, HC, Vietnam",,15,Đường Ấp Chánh 9,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0.09999999999999999,0.2222222222222222,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Song Hành Quốc Lộ 22,Huyện Hóc Môn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 710,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Hiệp 35,Huyện Hóc Môn,TP. Hồ Chí Minh",10.834888,106.595853,"35, Đường TK11, HC, Vietnam",,35,Đường TK11,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,,0.52,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
