original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county_code,county,state,confidence_building_level,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
"Phường Phước Long,TP. Hồ Chí Minh",10.81196,106.77065,"Phường Phước Bình, HC, Vietnam",,,,,,,Phường Phước Bình,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0.05555555555555555,,0.2222222222222222,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Hiệp Bình,Phường Hiệp Bình Chánh,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.014350043402777776,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Phước Long B,Quận 9,TP. Hồ Chí Minh",10.81196,106.77065,"Phường Phước Bình, HC, Vietnam",,,,,,,Phường Phước Bình,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0.05555555555555555,,0.2222222222222222,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường số 19,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.01943067033976125,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường số 9,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Số 8,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.020156988263984148,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Trường Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"đường số 14,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.01943067033976125,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.79968,106.7559,"Phường An Phú, HC, Vietnam",,,,,,,Phường An Phú,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường số 3,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",11.288348,106.133133,"Đường số 3 Nguyễn Văn Linh, TN, Vietnam",,,Đường số 3 Nguyễn Văn Linh,,,,,,Hoa Thanh,Tay Ninh,,TN,Vietnam,vn,0.12150000000000001,0.24300000000000002,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",10.95626,106.71571,"Phường Thuận Giao, BI, Vietnam",,,,,,,Phường Thuận Giao,,Thuan An,Bin Duong,,BI,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường Bình Trưng,TP. Hồ Chí Minh(Mới)",10.78308,106.7546,"Phường Bình Trưng Tây, HC, Vietnam",,,,,,,Phường Bình Trưng Tây,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Tam Hà,Phường Tam Phú,Quận Thủ Đức,TP. Hồ Chí Minh",10.849736,106.752353,"Đường Tâm Tâm Xã, Ho Chi Minh City, HC, Vietnam",,,Đường Tâm Tâm Xã,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Bình Thạnh,TP. Hồ Chí Minh",10.813252,106.7059206,"Công An Phường 26, Đường số 14, Ho Chi Minh City, 72309, Vietnam",Công An Phường 26,,Đường số 14,,72309,,Ho Chi Minh City,,Phường Bình Thạnh,,,,Vietnam,vn,0.09260999999999998,0.09260999999999998,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đường Phạm Văn Đồng,Phường Linh Trung,Quận Thủ Đức,TP. Hồ Chí Minh",10.775506,106.630609,"Đường Dương Khuê, Ho Chi Minh City, HC, Vietnam",,,Đường Dương Khuê,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Chương Dương,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.015290785061856863,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 17,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,,Thu Duc,Ho Chi Minh,,HC,Vietnam,vn,0.01943067033976125,,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 2,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",11.283124,106.132878,"Đường số 2 Nguyễn Văn Linh, TN, Vietnam",,,Đường số 2 Nguyễn Văn Linh,,,,,,Hoa Thanh,Tay Ninh,,TN,Vietnam,vn,0.12150000000000001,0.24300000000000002,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Phước Long,TP. Hồ Chí Minh(Mới)",10.81196,106.77065,"Phường Phước Bình, HC, Vietnam",,,,,,,Phường Phước Bình,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Độc Lập,Phường Tân Sơn Nhì,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường An Phú,TP. Hồ Chí Minh(Mới)",10.791621,106.7458175,"Công An Phường An Phú, Nguyễn Hoàng, Khu phố 1, Ho Chi Minh City, HC 71108, Vietnam",Công An Phường An Phú,,Nguyễn Hoàng,,71108,Khu phố 1,Ho Chi Minh City,,Phường Bình Trưng,Ho Chi Minh,,HC,Vietnam,vn,0.16363636363636364,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Sơn Nhì,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Quang Đạo,Xã Bình Khánh,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quốc Lộ 50,Xã Phong Phú,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Binh Chanh,Ho Chi Minh,,HC,Vietnam,vn,0.1,,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phú Lợi,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Bình Dương,TP. Hồ Chí Minh(Mới)",10.8246977,106.7156455,"Công Ty Vận Chuyển - Nhành Mai Mới, 23, Đường Số 2, Khu phố 44, Ho Chi Minh City, 72309, Vietnam",Công Ty Vận Chuyển - Nhành Mai Mới,23,Đường Số 2,,72309,Khu phố 44,Ho Chi Minh City,,Phường Hiệp Bình,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Triệu Lực,Phường Tân Tạo,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0.225,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Gò Dầu,Phường Tân Sơn Nhì,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Huy Ích,Phường Tân Sơn,TP. Hồ Chí Minh(Mới)",10.82674,106.631331,"Đường Phan Huy Ích, Ho Chi Minh City, HC, Vietnam",,,Đường Phan Huy Ích,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trường Chinh,Phường Tân Bình,TP. Hồ Chí Minh(Mới)",20.928890522594767,106.31873382478105,"Đường Trường Chinh, Phường Lê Thanh Nghị, Hải Phòng, 03118, Vietnam",Đường Trường Chinh,,Đường Trường Chinh,Phường Lê Thanh Nghị,03118,Phường Lê Thanh Nghị,Hải Phòng,,,,,,Vietnam,vn,0.5984999999999999,0.5984999999999999,0.5984999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
