original_address,lat,lon,formatted,name,housenumber,state,district,state_code,street,confidence_city_level,postcode,suburb,city,confidence_building_level,confidence_street_level,county,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Số 1,Phường Bình Hưng Hòa,TP. Hồ Chí Minh(Mới)",10.7898232,106.7764953,"số 1, Đường số 63, Khu phố 18, Ho Chi Minh City, 08408, Vietnam",,số 1,,,,Đường số 63,,08408,Khu phố 18,Ho Chi Minh City,,,Phường Bình Trưng,Vietnam,vn,0.07363636363636364,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đình Tân Khai,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.792167800000001,106.69494205000001,"Nam Chon communal house, 29, Trần Quang Khải, Ho Chi Minh City, 72200, Vietnam",Nam Chon communal house,29,,,,Trần Quang Khải,,72200,,Ho Chi Minh City,,,Phường Tân Định,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Khu Nông Nghiệp Công Nghệ Cao - Quận 6,Phường Bình Phú,TP. Hồ Chí Minh(Mới)",19.699318,105.680521,"Đường N18, TH, Vietnam",,,Thanh Hoa,,TH,Đường N18,,,,,,,Nong Cong,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Chợ Lớn,TP. Hồ Chí Minh(Mới)",10.75320165,106.65257549949524,"Trung tâm Hành chính công phường Chợ Lớn, 525-527, Hong Bang Road, Cholon, Ho Chi Minh City, HC 72415, Vietnam",Trung tâm Hành chính công phường Chợ Lớn,525-527,Ho Chi Minh,,HC,Hong Bang Road,,72415,Cholon,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bình Trị Đông,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.76464885,106.6045222665348,"UBND P. Bình Trị Đông A, 162, Mã Lò, Ho Chi Minh City, 72031, Vietnam",UBND P. Bình Trị Đông A,162,,,,Mã Lò,,72031,,Ho Chi Minh City,,,Phường Bình Trị Đông,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Phạm Văn Đồng,Phường Hiệp Bình,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thái Phiên,Phường Bình Thới,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Văn Quới,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.776324,106.606104,"Đường Lê Văn Quới, HC, Vietnam",,,Ho Chi Minh,,HC,Đường Lê Văn Quới,,,,,,,Binh Tan,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 16, Phường Bình Hưng Hòa,Phường Bình Hưng Hòa,TP. Hồ Chí Minh(Mới)",10.80568,106.60518,"Phường Bình Hưng Hòa, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Phường Bình Hưng Hòa,,,Quan 8,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Phạm Văn Đồng,Phường Linh Xuân,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 4,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,,,0.9,71006,,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lô Tư,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.787212,106.601324,"Đường Lô Tư, HC, Vietnam",,,Ho Chi Minh,,HC,Đường Lô Tư,,,,,,,Binh Tan,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phú Thọ Hoà,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.77414915,106.63038375548214,"Giáo xứ Phú Thọ Hòa, 39, Đường Trần Quang Quá, Ho Chi Minh City, 72031, Vietnam",Giáo xứ Phú Thọ Hòa,39,,,,Đường Trần Quang Quá,,72031,,Ho Chi Minh City,,,Phường Phú Thạnh,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hòa Đông,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.8797358,106.8061911,"Ho Chi Minh city University of Technology, Tạ Quang Bửu, Tân Lập, 00084, Vietnam",Ho Chi Minh city University of Technology,,,,,Tạ Quang Bửu,,00084,Tân Lập,,,,Phường Đông Hòa,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 8, Phường Bình Hưng Hòa B,Phường Bình Hưng Hòa,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,,,0.9,71006,,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Phạm Văn Bạch,Phường Tân Sơn,TP. Hồ Chí Minh(Mới)",10.823028,106.639377,"Đường Phạm Văn Bạch, Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,Đường Phạm Văn Bạch,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 6 (Liên Khu 5 Cũ), Phường Bình Hưng Hòa B,Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên Khu 8-9, Phường Bình Hưng Hoà A,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.80568,106.60518,"Phường Bình Hưng Hòa, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Phường Bình Hưng Hòa,,,Quan 8,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Số 8, Phường Bình Hưng Hòa,Phường Bình Hưng Hòa,TP. Hồ Chí Minh(Mới)",10.80568,106.60518,"Phường Bình Hưng Hòa, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Phường Bình Hưng Hòa,,,Quan 8,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B,Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.77772425,106.69726460302172,"Labour Union of District 1, Han Thuyen Street, Saigon, Ho Chi Minh City, 71006, Vietnam",Labour Union of District 1,,,Khu phố 3,,Han Thuyen Street,,71006,Saigon,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phan Anh,Phường Phú Thạnh,TP. Hồ Chí Minh(Mới)",10.7633619,106.62495153123675,"Công Viên 158 Phan Anh, 158, Ho Chi Minh City, Phường Phú Thạnh, Vietnam",Công Viên 158 Phan Anh,158,,,,,,,,Ho Chi Minh City,,,Phường Phú Thạnh,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Trường Chinh,Phường Tây Thạnh,TP. Hồ Chí Minh(Mới)",20.928890522594767,106.31873382478105,"Đường Trường Chinh, Phường Lê Thanh Nghị, Hải Phòng, 03118, Vietnam",Đường Trường Chinh,,,Phường Lê Thanh Nghị,,Đường Trường Chinh,0.5984999999999999,03118,Phường Lê Thanh Nghị,Hải Phòng,,0.5984999999999999,,Vietnam,vn,0.5984999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 1A,Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
