original_address,lat,lon,formatted,district,name,county_code,housenumber,street,postcode,suburb,city,county,confidence_city_level,confidence_street_level,confidence_building_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"Phường An Nhơn,TP. Hồ Chí Minh",10.8355833,106.7826086,"Công An Phường Tăng Nhơn Phú B, Đình Phong Phú, Khu phố 7, Ho Chi Minh City, HC 71211, Vietnam",,Công An Phường Tăng Nhơn Phú B,,,Đình Phong Phú,71211,Khu phố 7,Ho Chi Minh City,Phường Tăng Nhơn Phú,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Lương Bằng nối dài,Phường Phú Mỹ,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,Quan 7,,,,,,,Quan 7,,,,Ho Chi Minh,HC,Vietnam,vn,0.05368047337278107,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tháp Mười,Phường Bình Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 6,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,Quan 7,,,,,,,Quan 7,,,,Ho Chi Minh,HC,Vietnam,vn,0.12266089778258515,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Thân Nhân Trung,Phường 13,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Văn Trị,Phường Gò Vấp,TP. Hồ Chí Minh(Mới)",10.8295261,106.6820675,"Co.opmart Phan Văn Trị, 543/1, Phan Van Tri, Go Vap, Ho Chi Minh City, 71400, Vietnam",,Co.opmart Phan Văn Trị,,543/1,Phan Van Tri,71400,Go Vap,Ho Chi Minh City,Phường Hạnh Thông,,,,,,Vietnam,vn,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Phú,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, HC 71800, Vietnam",,Quan 7,,,,71800,,Ho Chi Minh City,Quan 7,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Mỹ,Phường Tân Phú,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, HC 71800, Vietnam",,Quan 7,,,,71800,,Ho Chi Minh City,Quan 7,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 14,Phường Tân Thuận Đông,Quận 7,TP. Hồ Chí Minh",10.725926,106.648708,"Đường số 14, HC, Vietnam",,,,,Đường số 14,,,,Binh Chanh,0.2,0.2,,Ho Chi Minh,HC,Vietnam,vn,0.2,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Phước Kiển,Huyện Nhà Bè,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
