original_address,lat,lon,formatted,name,postcode,county_code,housenumber,suburb,district,street,confidence_city_level,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_building_level,attribution,attribution_license,attribution_url
"Đường Hà Huy Giáp 2,Phường Thới An,TP. Hồ Chí Minh(Mới)",10.891359,106.68533,"2, Hẻm 827 Đường Hà Huy Giáp, Ho Chi Minh City, HC, Vietnam",,,,2,,,Hẻm 827 Đường Hà Huy Giáp,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thới Tam Thôn 14,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",10.875,106.618554,"14, Đường Thới Tam Thôn 17, HC, Vietnam",,,,14,,,Đường Thới Tam Thôn 17,,,Hoc Mon,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xuân Thới Thượng 24,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",10.855774,106.562474,"24, Đường Xuân Thới Thượng 2, HC, Vietnam",,,,24,,,Đường Xuân Thới Thượng 2,,,Hoc Mon,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 106,Phường Bến Cát,TP. Hồ Chí Minh(Mới)",10.9877112,106.68058451378135,"Phường Phú Lợi, Vietnam",,75111,,,,,,,,Phường Phú Lợi,,,,Vietnam,vn,0.05555555555555555,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trương Văn Bang,Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Thới Nhất 20,Phường Tân Thới Hiệp,TP. Hồ Chí Minh(Mới)",10.824405,106.623523,"20, Đường Tân Thới Nhất 17, Ho Chi Minh City, HC, Vietnam",,,,20,,,Đường Tân Thới Nhất 17,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bình Đông,Phường Phú Định,TP. Hồ Chí Minh(Mới)",10.8797358,106.8061911,"Ho Chi Minh city University of Technology, Tạ Quang Bửu, Tân Lập, 00084, Vietnam",Ho Chi Minh city University of Technology,00084,,,Tân Lập,,Tạ Quang Bửu,,,Phường Đông Hòa,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Xuân 40,Phường Thới An,TP. Hồ Chí Minh(Mới)",10.7837369,106.6967649,"hey sugar, 40, Trần Cao Vân, Saigon, Ho Chi Minh City, 71006, Vietnam",hey sugar,71006,,40,Saigon,,Trần Cao Vân,,Ho Chi Minh City,Phường Xuân Hòa,,,,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Du,Phường Hạnh Thông,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên Khu 2-5,Phường Tân Thới Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hoàng Hoa Thám,Phường Tân Bình,TP. Hồ Chí Minh(Mới)",10.806035450108235,106.69056943219113,"Hoang Hoa Tham, Gia Dinh, Ho Chi Minh City, 72317, Vietnam",Hoang Hoa Tham,72317,,,Gia Dinh,,Hoang Hoa Tham,,Ho Chi Minh City,,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quang Trung,Phường Gò Vấp,TP. Hồ Chí Minh(Mới)",10.7642942,106.66300119851489,"Phố đi bộ đêm Kỳ đài Quang Trung, 68, Ho Chi Minh City, 70000, Vietnam",Phố đi bộ đêm Kỳ đài Quang Trung,70000,,68,,,,,Ho Chi Minh City,Phường Diên Hồng,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
