original_address,lat,lon,formatted,name,housenumber,street,county_code,district,suburb,postcode,city,county,state,state_code,confidence_street_level,country,confidence_building_level,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Đường Trần Huy Liệu,Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Huỳnh Văn Bánh,Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Văn Sỹ,Phường 13,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cô Giang,Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 9,Phường Linh Trung,Quận Thủ Đức,TP. Hồ Chí Minh",10.8089334,106.6721598,"Little Du Mien Cafe, 9, Đường D, Ho Chi Minh City, HC 70000, Vietnam",Little Du Mien Cafe,9,Đường D,,,,70000,Ho Chi Minh City,Phường Đức Nhuận,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Hàn Thuyên,Phường Bình Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.017472585546307307,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Tô Ngọc Vân,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.015796231598435302,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Lý Tế Xuyên,Phường Linh Đông,Quận Thủ Đức,TP. Hồ Chí Minh",10.84635,106.74513,"Phường Linh Đông, HC, Vietnam",,,,,,,,Phường Linh Đông,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Nguyễn Trọng Tuyển,Phường 15,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Kha Vạn Cân,Phường Linh Chiểu,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"đường Số 708,Phường Linh Trung,Quận Thủ Đức,TP. Hồ Chí Minh",21.203931,106.467172,"Đường tỉnh 398B, HD, Vietnam",,,Đường tỉnh 398B,,,,,,Chi Linh,Hai Duong,HD,0.095699238075,Vietnam,,vn,0.0478496190375,0.34445250000000005,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lý Chính Thắng,Phường Võ Thị Sáu,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",Quan 3,,,,,,,,Quan 3,Ho Chi Minh,HC,,Vietnam,,vn,0.06741973840665871,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Kha Vạn Cân,Phường Linh Đông,Quận Thủ Đức,TP. Hồ Chí Minh",10.84333,106.75167,"Linh Dong, HC, Vietnam",,,,,,,,Linh Dong,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.08930249999999999,0.35720999999999997,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 40,Phường Hiệp Bình Chánh,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.01632716049382716,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đào Tông Nguyên,Xã Phú Xuân,Huyện Nhà Bè,TP. Hồ Chí Minh",10.684595,106.750043,"Đường Đào Tông Nguyên, HC, Vietnam",,,Đường Đào Tông Nguyên,,,,,,Nha Be,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Nhơn Đức,Huyện Nhà Bè,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Huỳnh Tấn Phát,Xã Phú Xuân,Huyện Nhà Bè,TP. Hồ Chí Minh",10.702197,106.738139,"Đường Huỳnh Tấn Phát, HC, Vietnam",,,Đường Huỳnh Tấn Phát,,,,,,Nha Be,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hoà Đông,Phường 14,Quận 6,TP. Hồ Chí Minh",10.760033,106.6254276,"BƯU ĐIỆN TÂN HOÀ ĐÔNG, 178A1, Tân Hòa Đông, Ho Chi Minh City, 72015, Vietnam",BƯU ĐIỆN TÂN HOÀ ĐÔNG,178A1,Tân Hòa Đông,,,,72015,Ho Chi Minh City,Phường Phú Lâm,,,0.1111111111111111,Vietnam,,vn,0.1111111111111111,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cao Xuân Dục,Phường 12,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Đông,Phường 13,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường An Nhơn,Phường 17,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Quang Định,Phường 15,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 1,Phường 13,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Văn Ơn,Phường Tân Sơn Nhì,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,,,Quan Tan Phu,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Thị Hành,Phường Phú Thọ Hòa,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",Tan Phu,,,,,,,,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,TP. Hồ Chí Minh",21.39192,103.02442,"Phường Tân Thanh, DB, Vietnam",,,,,,,,Phường Tân Thanh,Dien Bien Phu,Dien Bien,DB,,Vietnam,,vn,0.05555555555555555,0.2222222222222222,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Phan Đình Phùng,Phường Tân Thành,Quận Tân Phú,TP. Hồ Chí Minh",10.613275,107.063609,"Dương Văn Dương, BV, Vietnam",,,Dương Văn Dương,,,,,,Tan Thanh,Ba Ria-Vung Tau,BV,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Dương Đức Hiền,Phường Tây Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,,,Quan Tan Phu,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D5,Phường 25,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Oanh,Phường 25,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Cửu Vân,Phường 17,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Chu Văn An,Phường 26,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Viết Chánh,Phường 19,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nơ Trang Long,Phường 14,Quận Bình Thạnh,TP. Hồ Chí Minh",10.818762249999999,106.70682822471538,"482/10/28/14 Nơ Trang Long, 14, Hẻm 482/10/28 Nơ Trang Long, Ho Chi Minh City, 72309, Vietnam",482/10/28/14 Nơ Trang Long,14,Hẻm 482/10/28 Nơ Trang Long,,,,72309,Ho Chi Minh City,Phường Bình Lợi Trung,,,,Vietnam,,vn,0.11929090909090911,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trần Thị Hè,Phường Hiệp Thành,Quận 12,TP. Hồ Chí Minh",10.881058,106.638714,"Hiệp Thành 12, Ho Chi Minh City, HC, Vietnam",,,Hiệp Thành 12,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Lộc 15,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.43943,105.623504,"15, Quản Bạch, DT, Vietnam",,15,Quản Bạch,,,,,,TP Cao Lanh,Dong Thap,DT,0.041666666666666664,Vietnam,0,vn,0.01875,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
