original_address,lat,lon,formatted,street,housenumber,name,postcode,district,suburb,city,county,confidence_building_level,confidence_city_level,confidence_street_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Tỉnh lộ 52,Phường Tam Long,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tỉnh lộ 52,Xã Đất Đỏ,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hà Duy Phiên,Xã Bình Mỹ,TP. Hồ Chí Minh(Mới)",11.199916,106.661041,"Bin Duong, Vietnam",,,Bin Duong,,,,,,,,,Bin Duong,BI,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Ba - Đá Bạc,Xã Nghĩa Thành,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lộc An,Xã Phước Hải,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quốc Lộ 50,Xã Hưng Long,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 6,Xã Ngãi Giao,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường - Quận 9 (Cũ),Phường Bình Trưng,TP. Hồ Chí Minh(Mới)",10.78308,106.7546,"Phường Bình Trưng Tây, HC, Vietnam",,,,,,,Phường Bình Trưng Tây,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Hội Bài - Châu Pha,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tỉnh Lộ 329,Xã Hòa Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tam Đa,Phường Long Phước,TP. Hồ Chí Minh(Mới)",10.807503,106.833464,"Đường Tam Đa, Ho Chi Minh City, HC, Vietnam",Đường Tam Đa,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 1,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mỹ Xuân - Ngãi Giao,Xã Xuân Sơn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Hữu Cảnh,Phường Rạch Dừa,TP. Hồ Chí Minh(Mới)",10.783319643549177,106.70707738861537,"Nguyễn Hữu Cảnh, Saigon, Ho Chi Minh City, 71006, Vietnam",Nguyễn Hữu Cảnh,,Nguyễn Hữu Cảnh,71006,Ba Son,Saigon,Ho Chi Minh City,,,,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hội Bài – Tóc Tiên - Châu Pha,Xã Châu Pha,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đoạn Thuộc Địa Phận Xã Phước Tân,Xã Hồ Tràm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
