location,population,total_cases,PercentPopulationInfected
Afghanistan,41128772,235214.0,0.005718964816163245
Africa,1426736614,13145380.0,0.009213599672854544
Albania,2842318,335047.0,0.11787808401452617
Algeria,44903228,272139.0,0.00606056651428267
American Samoa,44295,8359.0,0.18871204424878654
Andorra,79843,48015.0,0.601367684080007
Angola,35588996,107481.0,0.00302006271826269
Anguilla,15877,3904.0,0.24589028153933362
Antigua and Barbuda,93772,9106.0,0.09710787868446871
Argentina,45510324,10101218.0,0.2219544295048306
Armenia,2780472,452273.0,0.16266051231589457
Aruba,106459,44224.0,0.4154087489080303
Asia,4721383370,301499099.0,0.06385821175118851
Australia,26177410,11861161.0,0.4531067435624838
Austria,8939617,6082444.0,0.6803920123199909
Azerbaijan,10358078,835757.0,0.08068649415461053
Bahamas,409989,39127.0,0.09543426774864691
Bahrain,1472237,696614.0,0.47316702405930566
Bangladesh,171186368,2051348.0,0.011983127067688006
Barbados,281646,108582.0,0.3855265120044311
Belarus,9534956,994037.0,0.10425187069557532
Belgium,11655923,4872829.0,0.41805603897692184
Belize,405285,71414.0,0.17620686677276484
Benin,13352864,28036.0,0.0020996244700762323
Bermuda,64207,18860.0,0.2937374429579329
Bhutan,782457,62697.0,0.08012836488139284
Bolivia,12224114,1212147.0,0.09916031542245107
Bonaire Sint Eustatius and Saba,27052,11922.0,0.4407067869288777
Bosnia and Herzegovina,3233530,403666.0,0.12483756142667611
Botswana,2630300,330696.0,0.12572558263315972
Brazil,215313504,37511921.0,0.17422001083592045
British Virgin Islands,31332,7557.0,0.24119111451551128
Brunei,449002,347723.0,0.7744353031835047
Bulgaria,6781955,1329988.0,0.19610687478757968
Burkina Faso,22673764,22139.0,0.0009764148555131825
Burundi,12889583,54569.0,0.004233573731593955
Cambodia,16767851,139319.0,0.008308697399565395
Cameroon,27914542,125246.0,0.004486765356924
Canada,38454328,4819055.0,0.1253189237892806
Cape Verde,593162,64474.0,0.10869543227651131
Cayman Islands,68722,31472.0,0.4579610605046419
Central African Republic,5579148,15441.0,0.0027676268849652313
Chad,17723312,7702.0,0.00043456888870432343
Chile,19603736,5401126.0,0.2755151365025524
China,1425887360,99373219.0,0.06969219433995123
Colombia,51874028,6391876.0,0.12321919554810742
Comoros,836783,9109.0,0.010885737401452945
Congo,5970430,25227.0,0.00422532380414811
Cook Islands,17032,7345.0,0.43124706434945986
Costa Rica,5180836,1234701.0,0.23832080382393883
Cote d'Ivoire,28160548,88434.0,0.003140350819877511
Croatia,4030361,1317144.0,0.3268054648206451
Cuba,11212198,1113662.0,0.0993259305624107
Curacao,191173,45883.0,0.2400077416790028
Cyprus,896007,696410.0,0.7772372314055582
Czechia,10493990,4761919.0,0.45377582787862386
Democratic Republic of Congo,99010216,101009.0,0.0010201876541709595
Denmark,5882259,3435679.0,0.5840747576738801
Djibouti,1120851,15690.0,0.013998292368923256
Dominica,72758,16047.0,0.2205530663294758
Dominican Republic,11228821,661103.0,0.0588755489111457
East Timor,1341298,23460.0,0.01749052037653079
Ecuador,18001002,1077445.0,0.05985472364260612
Egypt,110990096,516023.0,0.004649270688080132
El Salvador,6336393,201920.0,0.03186671028769838
Equatorial Guinea,1674916,17130.0,0.010227378567044556
Eritrea,3684041,10189.0,0.002765712976592823
Estonia,1326064,610471.0,0.4603631498932178
